Permittivity ,Lambda,Theta,R,T,Rs,Ts,,
1,0.00000045,0,0.07726821,0.92273179,0.07726821,0.92273179,,
1,0.00000046,0,0.02445644,0.97554356,0.02445644,0.97554356,,
1,0.00000046,0,0.00035337,0.99964663,0.00035337,0.99964663,,
1,0.00000047,0,0.0304949,0.9695051,0.0304949,0.9695051,,
1,0.00000047,0,0.08436513,0.91563487,0.08436513,0.91563487,,
1,0.00000048,0,0.118408,0.881592,0.118408,0.881592,,
1,0.00000048,0,0.11280828,0.88719172,0.11280828,0.88719172,,
1,0.00000049,0,0.07244932,0.92755068,0.07244932,0.92755068,,
1,0.00000049,0,0.02314952,0.97685048,0.02314952,0.97685048,,
1,0.0000005,0,0.00145465,0.99854535,0.00145465,0.99854535,,
1,0.0000005,0,0.02498031,0.97501969,0.02498031,0.97501969,,
1,0.00000051,0,0.07456113,0.92543887,0.07456113,0.92543887,,
1,0.00000051,0,0.11764876,0.88235124,0.11764876,0.88235124,,
1,0.00000052,0,0.13384486,0.86615514,0.13384486,0.86615514,,
1,0.00000052,0,0.11833113,0.88166887,0.11833113,0.88166887,,
1,0.00000053,0,0.0783106,0.9216894,0.0783106,0.9216894,,
1,0.00000053,0,0.03219299,0.96780701,0.03219299,0.96780701,,
1,0.00000054,0,0.00454007,0.99545993,0.00454007,0.99545993,,
1,0.00000054,0,0.01146734,0.98853266,0.01146734,0.98853266,,
1,0.00000055,0,0.04744297,0.95255703,0.04744297,0.95255703,,
1,0.00000055,0,0.09195721,0.90804279,0.09195721,0.90804279,,
1,0.00000056,0,0.12579105,0.87420895,0.12579105,0.87420895,,
1,0.00000056,0,0.13860934,0.86139066,0.13860934,0.86139066,,
1,0.00000056,0,0.12807505,0.87192495,0.12807505,0.87192495,,
1,0.00000057,0,0.09805186,0.90194814,0.09805186,0.90194814,,
1,0.00000058,0,0.05780184,0.94219816,0.05780184,0.94219816,,
1,0.00000058,0,0.02148772,0.97851228,0.02148772,0.97851228,,
1,0.00000059,0,0.00334413,0.99665587,0.00334413,0.99665587,,
1,0.00000059,0,0.01036453,0.98963547,0.01036453,0.98963547,,
1,0.0000006,0,0.0380207,0.9619793,0.0380207,0.9619793,,
1,0.0000006,0,0.07424693,0.92575307,0.07424693,0.92575307,,
1,0.00000061,0,0.10681452,0.89318548,0.10681452,0.89318548,,
1,0.00000061,0,0.1275572,0.8724428,0.1275572,0.8724428,,
1,0.00000062,0,0.13278876,0.86721124,0.13278876,0.86721124,,
1,0.00000062,0,0.12238266,0.87761734,0.12238266,0.87761734,,
1,0.00000063,0,0.09886405,0.90113595,0.09886405,0.90113595,,
1,0.00000063,0,0.06745923,0.93254077,0.06745923,0.93254077,,
1,0.00000064,0,0.03548764,0.96451236,0.03548764,0.96451236,,
1,0.00000064,0,0.01130654,0.98869346,0.01130654,0.98869346,,
1,0.00000065,0,0.00141241,0.99858759,0.00141241,0.99858759,,
1,0.00000065,0,0.00793627,0.99206373,0.00793627,0.99206373,,
1,0.00000066,0,0.0278487,0.9721513,0.0278487,0.9721513,,
1,0.00000066,0,0.05479029,0.94520971,0.05479029,0.94520971,,
1,0.00000067,0,0.08192307,0.91807693,0.08192307,0.91807693,,
1,0.00000067,0,0.10381574,0.89618426,0.10381574,0.89618426,,
1,0.00000068,0,0.11713564,0.88286436,0.11713564,0.88286436,,
1,0.00000068,0,0.12044079,0.87955921,0.12044079,0.87955921,,
1,0.00000069,0,0.11376018,0.88623982,0.11376018,0.88623982,,
1,0.00000069,0,0.09841085,0.90158915,0.09841085,0.90158915,,
1,0.0000007,0,0.07674312,0.92325688,0.07674312,0.92325688,,
1,0.0000007,0,0.05219962,0.94780038,0.05219962,0.94780038,,
1,0.00000071,0,0.02882403,0.97117597,0.02882403,0.97117597,,
1,0.00000071,0,0.01078015,0.98921985,0.01078015,0.98921985,,
